DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,WINNER,HOME_NRtg,HOME_DRtg,HOME_ORtg,HOME_DRB%,HOME_SRS,HOME_MOV,HOME_PACE,VISITOR_NRtg,VISITOR_DRtg,VISITOR_ORtg,VISITOR_DRB%,VISITOR_SRS,VISITOR_MOV,VISITOR_PACE,HOME_LAST_SEASON_W%,VISITOR_LAST_SEASON_W%,HOME_GAME,AWAY GAME,HOME_W%,VISITOR_W%,HOME_B2B,VISITOR_B2B,HOME_W%_AT_HOME,VISITOR_W%_ON_ROAD,HOME_LAST_20,VISITOR_LAST_20
2017-10-25,MIN,101,DET,122,1,-3.7,112.7,109.0,75.9,-4.22,-3.56,97.6,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,0.5,0.43902439024390244,1,0,0.5,0.5,0,1,0.5,0.5,0.5,0.5
2017-10-25,HOU,105,PHI,104,0,2.2,108.2,110.4,80.4,2.22,2.22,98.8,3.6,110.2,113.8,75.6,3.78,3.75,103.3,0.6219512195121951,0.6463414634146342,1,0,0.25,0.75,0,0,0.0,1.0,0.25,0.75
2017-10-25,CLE,107,BRK,112,1,-0.6,108.7,108.1,77.8,-1.18,-0.64,101.2,-7.9,115.4,107.5,77.4,-7.57,-7.89,98.7,0.5121951219512195,0.23170731707317074,1,0,0.5,0.75,1,1,1.0,1.0,0.5,0.75
2017-10-25,SAS,117,MIA,100,0,3.3,109.4,112.7,79.7,2.58,3.23,98.1,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,0.47560975609756095,0.5853658536585366,1,0,0.6666666666666666,1.0,0,0,1.0,1.0,0.6666666666666666,1.0
2017-10-25,IND,96,OKC,114,1,2.5,109.1,111.6,76.8,2.79,2.45,98.6,2.0,108.3,110.3,77.1,1.61,1.94,98.5,0.5975609756097561,0.5853658536585366,1,0,0.3333333333333333,0.5,0,1,0.5,0.5,0.3333333333333333,0.5
2017-10-25,MEM,94,DAL,103,1,6.1,110.6,116.7,77.4,5.84,6.04,99.1,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,0.4024390243902439,0.4024390243902439,1,0,0.0,1.0,0,0,0.0,1.0,0.0,1.0
2017-10-25,UTA,88,PHO,97,1,-1.3,111.8,110.5,78.3,-1.04,-1.37,101.4,3.2,109.4,112.6,79.0,3.2,3.17,98.4,0.23170731707317074,0.6097560975609756,1,0,0.25,0.5,0,1,0.3333333333333333,0.0,0.25,0.5
2017-10-25,TOR,112,GSW,117,1,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,6.4,105.2,111.6,76.1,5.88,6.45,100.6,0.6951219512195121,0.7073170731707317,1,0,0.5,0.6666666666666666,0,0,0.0,0.0,0.5,0.6666666666666666
2017-10-25,WAS,99,LAL,102,1,7.4,105.6,113.0,78.4,7.75,7.41,100.9,-3.9,115.8,111.9,74.9,-4.86,-4.05,102.8,0.45121951219512196,0.3902439024390244,1,0,0.3333333333333333,1.0,0,0,0.0,1.0,0.3333333333333333,1.0
2017-10-26,ATL,86,CHI,91,1,-3.1,109.8,106.7,75.6,-3.81,-3.08,99.7,-7.6,114.8,107.2,74.9,-7.57,-7.97,103.0,0.2682926829268293,0.35365853658536583,1,0,0.0,0.25,0,0,0.0,0.25,0.0,0.25
2017-10-26,DAL,91,MEM,96,1,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,6.1,110.6,116.7,77.4,5.84,6.04,99.1,0.4024390243902439,0.4024390243902439,1,0,0.75,0.2,1,1,1.0,0.0,0.75,0.2
2017-10-26,BOS,96,MIL,89,0,10.7,101.9,112.6,81.7,10.44,11.29,105.0,6.1,106.8,112.9,77.5,5.69,6.17,99.3,0.7317073170731707,0.5975609756097561,1,0,0.75,0.5,0,0,0.6666666666666666,0.5,0.75,0.5
2017-10-26,LAC,104,POR,103,0,-1.6,114.1,112.5,75.0,-1.11,-1.61,100.7,6.4,107.2,113.6,77.3,6.74,6.52,101.8,0.6463414634146342,0.5853658536585366,1,0,0.75,1.0,0,0,1.0,1.0,0.75,1.0
2017-10-26,NOP,114,SAC,106,0,-1.9,111.6,109.7,78.5,-1.44,-1.92,98.4,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,0.47560975609756095,0.4024390243902439,1,0,0.25,0.25,0,0,0.0,0.3333333333333333,0.25,0.25
2017-10-27,HOU,109,CHO,93,0,-7.0,113.3,106.3,74.4,-6.88,-6.75,95.8,3.6,110.2,113.8,75.6,3.78,3.75,103.3,0.47560975609756095,0.6463414634146342,1,0,0.5,0.8,0,0,1.0,1.0,0.5,0.8
2017-10-27,SAS,87,ORL,114,1,-1.0,109.0,108.0,79.0,-0.85,-0.97,98.3,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,0.5121951219512195,0.5853658536585366,1,0,0.75,1.0,0,0,1.0,1.0,0.75,1.0
2017-10-27,DEN,105,ATL,100,0,-7.6,114.8,107.2,74.9,-7.57,-7.97,103.0,3.0,109.5,112.5,77.0,3.02,2.95,97.2,0.35365853658536583,0.6585365853658537,1,0,0.2,0.25,1,0,0.0,0.0,0.2,0.25
2017-10-27,BRK,86,NYK,107,1,-6.5,113.0,106.5,78.3,-6.55,-6.45,98.6,-0.6,108.7,108.1,77.8,-1.18,-0.64,101.2,0.2073170731707317,0.5121951219512195,1,0,0.0,0.6,0,0,0.0,0.0,0.0,0.6
2017-10-27,OKC,116,MIN,119,1,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,2.5,109.1,111.6,76.8,2.79,2.45,98.6,0.43902439024390244,0.5975609756097561,1,0,0.4,0.5,0,0,0.5,0.0,0.4,0.5
2017-10-27,WAS,117,GSW,120,1,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,-3.9,115.8,111.9,74.9,-4.86,-4.05,102.8,0.6951219512195121,0.3902439024390244,1,0,0.6,0.75,0,0,0.5,0.5,0.6,0.75
2017-10-27,TOR,101,LAL,92,0,7.4,105.6,113.0,78.4,7.75,7.41,100.9,6.4,105.2,111.6,76.1,5.88,6.45,100.6,0.45121951219512196,0.7073170731707317,1,0,0.5,0.5,0,0,0.3333333333333333,0.0,0.5,0.5
2017-10-28,CLE,101,NOP,123,1,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,-7.9,115.4,107.5,77.4,-7.57,-7.89,98.7,0.4024390243902439,0.23170731707317074,1,0,0.4,0.6,0,0,0.0,0.5,0.4,0.6
2017-10-28,OKC,101,CHI,69,0,-3.1,109.8,106.7,75.6,-3.81,-3.08,99.7,2.5,109.1,111.6,76.8,2.79,2.45,98.6,0.2682926829268293,0.5975609756097561,1,0,0.25,0.4,0,1,0.5,0.0,0.25,0.4
2017-10-28,HOU,89,MEM,103,1,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,3.6,110.2,113.8,75.6,3.78,3.75,103.3,0.4024390243902439,0.6463414634146342,1,0,0.8,0.8333333333333334,0,1,1.0,1.0,0.8,0.8333333333333334
2017-10-28,BOS,96,MIA,90,0,3.3,109.4,112.7,79.7,2.58,3.23,98.1,6.1,106.8,112.9,77.5,5.69,6.17,99.3,0.47560975609756095,0.5975609756097561,1,0,0.5,0.6,0,0,0.6666666666666666,0.6666666666666666,0.5,0.6
2017-10-28,PHI,112,DAL,110,0,6.1,110.6,116.7,77.4,5.84,6.04,99.1,2.2,108.2,110.4,80.4,2.22,2.22,98.8,0.4024390243902439,0.6219512195121951,1,0,0.16666666666666666,0.2,0,0,0.25,0.3333333333333333,0.16666666666666666,0.2
2017-10-28,LAL,81,UTA,96,1,3.2,109.4,112.6,79.0,3.2,3.17,98.4,7.4,105.6,113.0,78.4,7.75,7.41,100.9,0.6097560975609756,0.45121951219512196,1,0,0.4,0.4,0,1,1.0,1.0,0.4,0.4
2017-10-28,PHO,107,POR,114,1,-1.6,114.1,112.5,75.0,-1.11,-1.61,100.7,-1.3,111.8,110.5,78.3,-1.04,-1.37,101.4,0.6463414634146342,0.23170731707317074,1,0,0.6,0.4,0,0,0.5,0.0,0.6,0.4
2017-10-28,DET,95,LAC,87,0,6.4,107.2,113.6,77.3,6.74,6.52,101.8,-3.7,112.7,109.0,75.9,-4.22,-3.56,97.6,0.5853658536585366,0.5,1,0,1.0,0.6,0,0,1.0,0.5,1.0,0.6
2017-10-29,MIL,117,ATL,106,0,-7.6,114.8,107.2,74.9,-7.57,-7.97,103.0,10.7,101.9,112.6,81.7,10.44,11.29,105.0,0.35365853658536583,0.7317073170731707,1,0,0.16666666666666666,0.6,0,0,0.0,1.0,0.16666666666666666,0.6
2017-10-29,SAS,94,IND,97,1,2.0,108.3,110.3,77.1,1.61,1.94,98.5,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,0.5853658536585366,0.5853658536585366,1,0,0.4,0.8,0,0,0.5,0.6666666666666666,0.4,0.8
2017-10-29,DEN,124,BRK,111,0,-0.6,108.7,108.1,77.8,-1.18,-0.64,101.2,3.0,109.5,112.5,77.0,3.02,2.95,97.2,0.5121951219512195,0.6585365853658537,1,0,0.5,0.4,0,0,1.0,0.3333333333333333,0.5,0.4
2017-10-29,ORL,113,CHO,120,1,-7.0,113.3,106.3,74.4,-6.88,-6.75,95.8,-1.0,109.0,108.0,79.0,-0.85,-0.97,98.3,0.47560975609756095,0.5121951219512195,1,0,0.4,0.8,0,0,0.6666666666666666,0.5,0.4,0.8
2017-10-29,WAS,110,SAC,83,0,-1.9,111.6,109.7,78.5,-1.44,-1.92,98.4,-3.9,115.8,111.9,74.9,-4.86,-4.05,102.8,0.47560975609756095,0.3902439024390244,1,0,0.2,0.6,0,0,0.0,0.3333333333333333,0.2,0.6
2017-10-29,NYK,114,CLE,95,0,-7.9,115.4,107.5,77.4,-7.57,-7.89,98.7,-6.5,113.0,106.5,78.3,-6.55,-6.45,98.6,0.23170731707317074,0.2073170731707317,1,0,0.5,0.25,1,0,0.6666666666666666,0.0,0.5,0.25
2017-10-29,DET,115,GSW,107,0,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,-3.7,112.7,109.0,75.9,-4.22,-3.56,97.6,0.6951219512195121,0.5,1,0,0.6666666666666666,0.6666666666666666,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2017-10-30,SAS,94,BOS,108,1,6.1,106.8,112.9,77.5,5.69,6.17,99.3,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,0.5975609756097561,0.5853658536585366,1,0,0.6666666666666666,0.6666666666666666,0,1,0.5,0.5,0.6666666666666666,0.6666666666666666
2017-10-30,MIN,125,MIA,122,0,3.3,109.4,112.7,79.7,2.58,3.23,98.1,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,0.47560975609756095,0.43902439024390244,1,0,0.4,0.5,0,0,0.5,0.3333333333333333,0.4,0.5
2017-10-30,DEN,110,NYK,116,1,-6.5,113.0,106.5,78.3,-6.55,-6.45,98.6,3.0,109.5,112.5,77.0,3.02,2.95,97.2,0.2073170731707317,0.6585365853658537,1,0,0.4,0.5,1,1,0.5,0.5,0.4,0.5
2017-10-30,PHI,115,HOU,107,0,3.6,110.2,113.8,75.6,3.78,3.75,103.3,2.2,108.2,110.4,80.4,2.22,2.22,98.8,0.6463414634146342,0.6219512195121951,1,0,0.7142857142857143,0.3333333333333333,0,0,0.5,0.5,0.7142857142857143,0.3333333333333333
2017-10-30,CHO,104,MEM,99,0,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,-7.0,113.3,106.3,74.4,-6.88,-6.75,95.8,0.4024390243902439,0.47560975609756095,1,0,0.8333333333333334,0.5,0,1,1.0,0.0,0.8333333333333334,0.5
2017-10-30,ORL,115,NOP,99,0,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,-1.0,109.0,108.0,79.0,-0.85,-0.97,98.3,0.4024390243902439,0.5121951219512195,1,0,0.5,0.6666666666666666,0,1,0.5,0.3333333333333333,0.5,0.6666666666666666
